"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment2"
"11/06/2019 12:49:50:393 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"494","80","59","39","0","96.45964596459646","0"
"492","80","59","44","0","97.27977448907681","0"
"496","80","59","39","0","96.22177185871453","0"
"493","80","59","49","0","96.94634703196347","0"
"495","80","59","62","0","96.418652243824","0"
"497","80","59","51","0","96.94009481396351","0"
"498","80","59","42","0","96.56891495601172","0"
"500","80","59","38","0","96.24793636500075","0"
"499","80","59","49","0","96.56203288490283","0"
"503","80","60","38","0","96.72843080486393","0"
"502","80","60","40","0","96.70121150197052","0"
"501","80","60","50","0","96.93027335184915","0"
"511","81","10","3","0","50.69846197262593","0"
"512","81","10","2","0","51.84571342474009","0"
"513","81","10","1","0","50.584668687743616","0"
"505","80","60","34","0","97.24403615350423","0"
"514","81","10","3","0","50.67796610169491","0"
"515","81","10","2","0","51.96275071633237","0"
"506","80","60","37","0","96.7746622112451","0"
"516","81","10","3","0","50.85538821465126","0"
"517","81","10","2","0","51.92634999226365","0"
"518","81","10","2","0","49.34626120170413","0"
"504","80","60","42","0","97.10124232471797","0"
"519","81","10","2","0","52.466627974463144","0"
"507","80","60","31","0","96.96309212438244","0"
"520","81","10","2","0","51.75732827767246","0"
"521","81","11","2","0","50.932944606414","0"
"522","81","11","3","0","52.15311004784689","0"
"525","81","11","2","0","50.578754578754584","0"
"523","81","11","3","0","50.67983397738658","0"
"526","81","11","2","0","51.008645533141205","0"
"524","81","11","4","0","52.47003800058463","0"
"527","81","11","2","0","50.88124819416354","0"
"508","80","60","35","0","96.6725043782837","0"
"529","81","11","2","0","51.36390017411492","0"
"528","81","11","3","0","50.955597068544336","0"
"530","81","11","2","0","51.11301369863014","0"
"531","81","12","3","0","51.20744835612453","0"
"532","81","12","2","0","50.87392550143266","0"
"534","81","12","2","0","50.97982290608216","0"
"535","81","12","2","0","52.26398342704942","0"
"536","81","12","2","0","51.19867732157619","0"
"533","81","12","3","0","50.19044828596543","0"
"538","81","12","2","0","51.16345877621373","0"
"537","81","12","3","0","51.42650253439537","0"
"540","81","12","2","0","51.499348109517605","0"
"541","81","13","2","0","52.29249594574672","0"
"539","81","12","3","0","51.043197178959744","0"
"510","80","60","40","0","96.71628721541155","0"
"543","81","13","3","0","52.361335883478","0"
"542","81","13","5","0","51.95538818076477","0"
"547","81","13","2","0","51.81121298662258","0"
"546","81","13","3","0","52.32335152677386","0"
"544","81","13","3","0","51.83314087759815","0"
"548","81","13","3","0","51.52777777777777","0"
"545","81","13","4","0","51.676612674055136","0"
"509","80","60","46","0","96.79287305122494","0"
"550","81","13","3","0","52.86951416409805","0"
"549","81","13","2","0","49.96286944898262","0"
"551","81","14","3","0","51.80323139065205","0"
"552","81","14","3","0","53.597122302158276","0"
"553","81","14","3","0","51.45287030474841","0"
"555","81","14","3","0","51.17673512217059","0"
"554","81","14","4","0","52.0422943221321","0"
"556","81","14","3","0","52.74425287356321","0"
"558","81","14","3","0","52.417340191036","0"
"559","81","14","3","0","51.8758275709872","0"
"557","81","14","4","0","51.51735153187165","0"
"560","81","14","3","0","52.29148875604896","0"
"563","81","15","3","0","54.101765316718584","0"
"561","81","15","5","0","54.062994390910404","0"
"564","81","15","3","0","55.04999275467324","0"
"562","81","15","7","0","53.645833333333336","0"
"565","81","15","5","0","54.5631067961165","0"
"568","81","15","4","0","53.789173789173795","0"
"567","81","15","5","0","55.021446531578164","0"
"566","81","15","6","0","54.5522949586155","0"
"569","81","15","4","0","54.399884593191","0"
"570","81","15","4","0","55.17811513602886","0"
"571","81","16","4","0","54.464555052790345","0"
"574","81","16","4","0","53.96076117421449","0"
"572","81","16","5","0","54.865747975564716","0"
"573","81","16","5","0","53.118153936030374","0"
"576","81","16","4","0","54.86827033218786","0"
"575","81","16","5","0","54.53095548789329","0"
"578","81","16","4","0","54.79094076655052","0"
"577","81","16","6","0","54.453229897061014","0"
"579","81","16","6","0","54.408921933085495","0"
"580","81","16","5","0","53.92333033842468","0"
"584","81","17","6","0","57.12207187545468","0"
"581","81","17","8","0","59.3290782247291","0"
"583","81","17","8","0","57.3433962264151","0"
"582","81","17","8","0","58.211757908421205","0"
"585","81","17","8","0","60.064318082151736","0"
"586","81","17","6","0","58.19046246938482","0"
"587","81","17","6","0","57.8023598820059","0"
"588","81","17","7","0","58.052488168650505","0"
"589","81","17","6","0","57.10955710955711","0"
"591","81","18","6","0","58.36593439662955","0"
"590","81","17","6","0","58.39298758217677","0"
"592","81","18","6","0","57.11992996790195","0"
"593","81","18","6","0","56.61817658072879","0"
"594","81","18","7","0","56.6464339908953","0"
"595","81","18","7","0","57.670706473544186","0"
"596","81","18","8","0","59.032591063265","0"
"599","81","18","7","0","57.61280931586609","0"
"597","81","18","8","0","56.70740474478792","0"
"601","81","19","6","0","58.55673090856398","0"
"602","81","19","5","0","58.436891750262006","0"
"598","81","18","9","0","57.73845230953809","0"
"600","81","18","8","0","56.468324452338656","0"
"603","81","19","9","0","56.84116597263533","0"
"604","81","19","6","0","57.33550681683462","0"
"609","81","19","5","0","56.365774772125846","0"
"605","81","19","9","0","57.2721875927575","0"
"608","81","19","8","0","58.622202720491444","0"
"607","81","19","9","0","57.77061666910795","0"
